address,reward(wei),reward(ether)
0xe7B95E3AefEB28D8A32a46e8C5278721DAD39550,231379871240785173869166,231379.87
0x7A4A6Cae06184aDD7BFa3d8095bC8AFC7A6aecb4,198902024940657923683694,198902.02
0xC078901477B01C708874E0A7e335366A01BF14CE,104258616432705340402895,104258.61
0x2AdA257d589886E5A20ed56f849EC3fB4878Fc3A,77658438655735456763922,77658.43
0x4796FD190a183d4921e62cf57f4d80e06E2C2297,67792334284320393328588,67792.33
0x61f9292d4aab1cD873961900002602c279b135b6,64871054103121352390602,64871.05
0x8107b10C7F228bFE393d8bAA3a7C5BcCD06E7f54,64380575403123897010752,64380.57
0x9c9dB4A844AD4d6f712dE2A350E09067B52852f4,52539463389207797708868,52539.46
0x3eD922c0F6FD4f3207eE9e9af731A1198Db65818,12187094747287130699764,12187.09
0xab1ccB7f267Dfd8B63102dce99fb13B56AdadFd5,10114004003628669834844,10114.00
0x1BefE5842603214Bce65799D04E7ED88A7F7987c,4501860037921673972607,4501.86
0xF21908388875f9E6Ff6eFCDE7962400897401090,4449199878862657767331,4449.19
0xe4bA2FBDEcC20E54fc5e2bc9c8Cf0bdAF6aE92e5,3995244210042844473525,3995.24
0x18Ff8fC9A668C17a692cA38e12BE74d2E4f6067B,3982115994140527093032,3982.11
0x81C0f38F09c950A2d2CBB9A03B2886001096F648,3909878068783492650550,3909.87
0xd36aaB2f2e6B2192f7bb0c092bA332F7F558bE7f,3601196317829054471999,3601.19
0xFe1BCD4fae7d1f04a744aA51d2cF4EFD5277762f,3468348451688709430931,3468.34
0x327966dE9538652FF432c093fbA40ec300Dd2A6e,2500135743191642361086,2500.13
0xD5CEd2279ABa11682a9bB6B950444AeB9DebF78C,2320331131499093832654,2320.33
0x39B4c78FcAD0Dc158be86Ee0f9f1b867fa6604F7,2288264642819804604687,2288.26
0xe3534F90E367F5bd62AF306d9F36804a82ba6cAc,2214222199443064614288,2214.22
0xB4EA71215E232227058D9925D82D748a20F6aDdC,2048436831711174200864,2048.43
0x30086c39930C0708B83e2C31Ee080505D843aC8C,1909381643563062858331,1909.38
0xdb4a170ac802c94c8D1e5d9c963f67d56e345E20,1788808072846605044196,1788.80
0x0662aeF765318FFEd138d6F3E0c10d60c95bb545,1696479376690093023299,1696.47
0xA4aC2BB3885Ff3bf82e99cc2B442A379E3627EF7,1644304754722096290339,1644.30
0x260c533e6FC635013DB3143730DD0Dd19b6Df75C,1635243273956421555636,1635.24
0x0EC3B8F4Bf4fE553A8423C64847E6e9De8C3b102,1600410970477400254303,1600.41
0x02ECA8cC78b7D30c1Ac5E16988ED2C8A9Da658d6,1512614981328793971368,1512.61
0xD580120Aec2e48f47ADC48366B208BD9c5DaA30f,1394111061140228352330,1394.11
0xFA2A5F27549DEa23e52FF1e16c55608d6F9B316A,1388583871468692233597,1388.58
0x2Ad8A88aB8cA12CC99aE16c00F96aeA186FEc57f,1346064900092630037461,1346.06
0x4F50d47D20380172746527bbeAa274940C38EFAC,1334108800603158836480,1334.10
0x7f5aEe0bb328a127b8b8889418FaF0629e113AEA,1271000147849515056401,1271.00
0xF483cf80A8329D730cc1Ae8b696deC3AA9697738,1245746290976892333819,1245.74
0x0c8bFC46C4fB39b6eEd7814E8830fAc0a45F8D6D,1018639479762021328526,1018.63
0x494C75ec66B26aa9A579A6F2F665024d345bDa75,955107733933220289451,955.10
0xA7c05879B3240dBC1eE89fb45Da508e8C6c4d42F,950045008174699660097,950.04
0xF9e11762d522ea29Dd78178c9BAf83b7B093aacc,946933816819010272432,946.93
0xA69414871814A6F8AeA7EdD9E4f1282C6EafFE18,926514564954591371960,926.51
0xa44038533F10bF668207c7916Ad341400A75A70C,831045759705498202316,831.04
0x8E0Eb3cB53B3e8F8834Ad2fca8E607D321e6AB40,822722977752387732903,822.72
0x81aF01a1705b9dFf51A7e5E677461a87dE4193c7,809518833498325923705,809.51
0xc4049a505cEA82E4cef40e12eF4d23D68834495B,801791551867617589697,801.79
0x17f1916cfD03aA80249A9918F55949cD31097E22,759592861567668289725,759.59
0x0C5a2C72C009252f0E7312f5a1Ab87de02be6FBE,743566586970779376113,743.56
0x773cd1Eed5E018d1E4903dda602A28203a97CC57,709617872892573510165,709.61
0x6A99E8961055b505d8D62C447220bb341Ad769eE,655603683405751841560,655.60
0x65d25E3F2696B73b850daA07Dd1E267dCfa67F2D,649910961623240424242,649.91
0x09D3fd52349e77B89e657238b8C8c51381d5d0eD,644466863841022729621,644.46
0xF13cc2aecaA32120B7a78bA45A2DD31CF1703123,630639766892378225900,630.63
0xC8d4a8970035f9F3fd01dbd238C97b5348Aa3199,602246850498006090758,602.24
0x2DB2a229193c0E3c9d751fdDBB740dCc7F58228b,572955254736581420856,572.95
0x32fE410DC495225f460944D53c39344765075d93,568657971035501040192,568.65
0x337dEc58Ab25E277b1C85821FAb7131131c9d379,557699729374487297421,557.69
0xda9162677274b13C6C0a863EE8fbA21b9fd2fa4A,543597233668128307510,543.59
0x7432e12a2C7738a9DC871749BC0ec758d1Bf3fbE,535634096802374556950,535.63
0x06Aca72a9A86f6795c6FFF4F570B230103615E15,500750991804658551792,500.75
0x674B05E01F53B6e7eDabb79B94C82869FC4BeD90,500750991804658551792,500.75
0x54BFff85282DD1A5b7B02904F7e6EFE43822a497,500750991804658551792,500.75
0x7393009c9138c519088462a4B5bc008F3bb12E2D,500590431487281061056,500.59
0xa54473f827ADa813d0e5CEb3B1042251545aAf28,494118911522279313346,494.11
0x8772d12E3ED583C6f81B3846E95fD06484e214D3,491461879932750754416,491.46
0x7F8292C3E6E9C8e276b7E8519Fba1bf0157FdAC3,481623788212223681824,481.62
0x36b873a52DC210F2ea0E679Dca5cFc815dbf6C09,460291926121858881744,460.29
0xA54F81733201C1F555bf5e51E4829a1c7DD3447B,458451876160722899452,458.45
0xa81311e56630a9A21901415671A489A9985AC00E,447470758039757825886,447.47
0x25B7251Dd1f0E0469A56c83f283237353D02B62c,445430002188628012135,445.43
0xB2CBE33dC64380e7AFDA17F6BbCd594cFA540Ff7,427790698595501685832,427.79
0x7911Ca547f65a951eD1e5C74dE04b8707080f0FD,422587743766598753512,422.58
0x9793900E4ce3A3505b17530637ba48fEE0044e82,415073895446537096595,415.07
0x3f436e96F7fBBA9dbD764294C424b38e9Ff3Fff8,404504204484935525334,404.50
0x93FC1F35f53a9553534979233caF273214C51Fd7,402078072861508025688,402.07
0xE37A64B9715Ea60EF325daF1B83E2F7805ef6E09,400400793443726841434,400.40
0x38e29135f9e10073B327083A016057720Fc2569E,382044755256036546316,382.04
0x50573899c3b91e7cFd2F17388b29a1169C62e374,361239734243831699343,361.23
